nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Gastos de comunidad,Referencia,Carpintería exterior,Gas,Calefacción,Lavadero,Balcón,Orientación,Superficie solar,Amueblado,Armarios empotrados,Vidrios dobles,Tipo suelo,Teléfono,Aire acondicionado,Chimenea,Cocina equipada,Comedor,Garaje,Puerta blindada,Sistema de seguridad,Terraza,Jardín,Piscina,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Ascensor,Agua,Soleado,Carpintería interior,Portero automático,Adaptado a personas con movilidad reducida,Luz,Trastero,Tipo de casa,Interior,No se aceptan mascotas
Piso en Carrer de Minerva,TRAPEZIO,3.152 €/m²,290.000 €,92 m²,https://www.pisos.com/comprar/piso-centre_urba-37537386065_103800/,Anuncio actualizado el 20/02/2025,"G, G","G, G",maresme (BCN),92 m²,91 m²,3,2,4ª,N/A,,Reformado,,INB371-515-2925,,,Gas natural,,,Este,,,2,,,,Frío y calor,,N/A,,,,,N/A,,Comunitaria,,,,,N/A,,,,,N/A,,N/A,,,
Piso en Cèntric,homellar,1.588 €/m²,135.000 €,85 m²,https://www.pisos.com/comprar/piso-calella_centro_urbano08370-50902898860_100500/,Anuncio actualizado el 20/01/2025,"G, G","G, G",maresme (BCN),85 m²,71 m²,3,1,Bajo,,,,,SA2051-HLM2501/7494,,,Eléctrica,,,,,N/A,,,Parquet,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,
Casa en Castella D Indies,PREMIUM HOUSES,1.732 €/m²,395.000 €,228 m²,https://www.pisos.com/comprar/casa-sant_cebria_de_vallalta_centro_urbano-42530348188_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",maresme (BCN),228 m²,220 m²,4,2,,,Entre 30 y 50 años,,,SA1393-PH103016/3699,,,,,,,1.220 m²,,1,,Parquet,,,N/A,,,,,N/A,,N/A,Propia,,,,,,N/A,,,,,,,,,
Chalet adosado en Camí de la Costa,GD&A BROKERS INMOBILIARIOS,2.653 €/m²,690.000 €,260 m²,https://www.pisos.com/comprar/chalet_adosado-premia_de_dalt_centro_urbano-48409595437_991923/,Anuncio actualizado el 20/02/2025,"B, A","B, A",maresme (BCN),260 m²,251 m²,4,3,,,Menos de 5 años,Reformado,,4991923-50158,Aluminio,,suelo radiante,N/A,,Sureste,,,Más de 2,N/A,Gres porcelánico,,Aerotermia,,N/A,N/A,2,N/A,,N/A,Privado,Comunitaria,N/A,N/A,N/A,,,,,,,,,,,,
Casa en Centro,TRAPEZIO,1.938 €/m²,440.000 €,227 m²,https://www.pisos.com/comprar/casa-arenys_de_munt_centro_urbano-44235141068_103800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),227 m²,225 m²,4,2,,,,En buen estado,,INB371-547-2958,,,,,,,,,N/A,,Gres,,,,N/A,,2,,,N/A,N/A,,,,,,,,,,,,,N/A,,,
Piso en Carrer del Rosselló,IMMO-NOVA,2.302 €/m²,239.500 €,104 m²,https://www.pisos.com/comprar/piso-cerdanyola_sud08303-50911909821_525870/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),104 m²,90 m²,3,1,2ª,N/A,Entre 20 y 30 años,En buen estado,,4525870-9009,Aluminio,,Gas natural,N/A,N/A,,,,,,Gres,,,,,,,,,,,,,,,,N/A,,,,N/A,,,,,,
"Piso en Avinguda del Maresme,  s/n",CULMIA,2.943 €/m²,315.000 €,107 m²,https://www.pisos.com/comprar/piso-mataro_centre08301-4887762746_109700/,Anuncio actualizado el 14/02/2025,"B, B","B, B",maresme (BCN),107 m²,,3,2,1ª,,,A estrenar,,-PR08001,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,N/A,,,
"Piso en Ronda de Barceló, 49",PREMIER ESPAÑA,3.230 €/m²,365.000 €,113 m²,https://www.pisos.com/comprar/piso-mataro_eixample-5115598935_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",maresme (BCN),113 m²,,3,2,,,,A estrenar,,4992912-21732519,,,Gas natural,,,,,,,,,,Frío y calor,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Piso en Centre,Engel & Völkers MMC Barcelona,3.125 €/m²,175.000 €,56 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-5203980467_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),56 m²,,2,1,,,,A estrenar,,IF76306-D-000MMY,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
"Ático en Avinguda del Maresme,  s/n",CULMIA,3.361 €/m²,595.000 €,177 m²,https://www.pisos.com/comprar/atico-mataro_centre08301-5259474046_109700/,Anuncio actualizado el 14/02/2025,"B, B","B, B",maresme (BCN),177 m²,,4,3,1ª,,,A estrenar,,-PR08001,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,N/A,,,
"Piso en Carrer Josep Pla, 1",LA LLAVE DE ORO,5.146 €/m²,422.000 €,82 m²,https://www.pisos.com/comprar/piso-centre_urba-5029401483_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),82 m²,,3,2,Bajo,,,A estrenar,,4993346-0,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,N/A,,,
Piso en Avinguda d'Amèrica,FINQUES SANTOS,1.759 €/m²,190.000 €,108 m²,https://www.pisos.com/comprar/piso-el_palau08304-50053672922_511336/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),108 m²,108 m²,3,1,5ª,N/A,Más de 50 años,En buen estado,,4511336-FS1MPV37,Aluminio,,,N/A,,Al mar,,,,,Terrazo,,,,N/A,N/A,,,,N/A,,,,,,,N/A,,N/A,,,N/A,,,,,
Piso en Carrer de Lluís Jover,VILALLAR,3.035 €/m²,340.000 €,112 m²,https://www.pisos.com/comprar/piso-vilassar_de_mar_centro_urbano-50032185494_520227/,Anuncio actualizado el 08/01/2025,"F, E","F, E",maresme (BCN),112 m²,96 m²,4,2,1ª,N/A,Entre 30 y 50 años,En buen estado,,520227-V041,Aluminio,N/A,,N/A,N/A,Sur,,,2,,Gres,,,,N/A,,,N/A,,N/A,,,,,,,N/A,,N/A,,N/A,,,,,,
Casa en Carrer Oliveres,GIROTERRA GRUP TERRAMINIUM,692 €/m²,250.000 €,361 m²,https://www.pisos.com/comprar/casa-urbanitzacions_terrabrava_tordera_parc-28393078534_100500/,Anuncio actualizado el 07/01/2025,"E, E","E, E",maresme (BCN),361 m²,260 m²,8,3,,,,,,SA1776-00176/5932,,,N/A,,,Suroeste,1.200 m²,,1,,Gres,,,N/A,,,1,,,N/A,N/A,,N/A,,,,,,,,,,,N/A,,,
Casa en Avinguda Sol,BLANES HOUSE,1.695 €/m²,339.000 €,200 m²,https://www.pisos.com/comprar/casa-urbanitzacions_el_mas_mora_sant_daniel_blanes_mar-22593186786_501585/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),200 m²,97 m²,4,1,,,Entre 30 y 50 años,En buen estado,,501585-004002,Aluminio,En urb,,N/A,,,2.025 m²,N/A,Más de 2,N/A,Terrazo,,,,N/A,N/A,2,,,N/A,Privado,Propia,N/A,N/A,N/A,N/A,,,,N/A,,,,,,,
"Piso en Ronda de Cerdanya, 13",ELIMIT FINCAS,1.418 €/m²,78.000 €,55 m²,https://www.pisos.com/comprar/piso-cerdanyola_nord-42590791695_500315/,Anuncio actualizado el 20/02/2025,"F, F","F, F",maresme (BCN),55 m²,45 m²,2,1,1ª,,Entre 30 y 50 años,En buen estado,,500315-OK-666-175,,,,,,Noreste,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,N/A,,,,,,
"Casa en calle de Can Pau Valls,  11-13",LA LLAVE DE ORO,3.141 €/m²,823.000 €,262 m²,https://www.pisos.com/comprar/casa-teia_centro_urbano-4577758896_109700/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),262 m²,,4,3,,,,A estrenar,,4993346-21168731,,,,,,,,,,,,,,,,,,,,N/A,Privado,,,,,,,,,,,,,,,,
Casa en Vilassar de Mar,VILALLAR,3.483 €/m²,533.000 €,153 m²,https://www.pisos.com/comprar/casa-vilassar_de_mar_centro_urbano-49262810610_520227/,Anuncio actualizado el 28/01/2025,"F, E","F, E",maresme (BCN),153 m²,94 m²,4,2,,,Entre 30 y 50 años,En buen estado,,520227-V000033,Aluminio,N/A,Gas natural,,,Sur,92 m²,,2,,Gres,,,N/A,Con zona office,,1,,,,Privado,,,,,,,,,,,,,,,,
Chalet en Argentona,Engel & Völkers MMC Barcelona,3.063 €/m²,775.000 €,253 m²,https://www.pisos.com/comprar/chalet-argentona_centro_urbano-5186766491_109700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),253 m²,,4,4,,,,A estrenar,,IF76306-D-000LL3,,,,,,A la montaña,,,Más de 2,,,,Frío y calor,,N/A,,N/A,,,N/A,Privado,,,,,,,,,,,N/A,,,,,
Piso en Vilassar de Mar,TECNOCASA VILASSAR,2.195 €/m²,219.500 €,100 m²,https://www.pisos.com/comprar/piso-vilassar_de_mar_centro_urbano-50865930395_100200/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),100 m²,,4,1,,,Más de 50 años,A reformar,,TC213-605013,,,,,,,,,,,Gres,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
"Piso en Ronda de Barceló, 49",PREMIER ESPAÑA,3.346 €/m²,261.000 €,78 m²,https://www.pisos.com/comprar/piso-mataro_eixample-5108003057_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",maresme (BCN),78 m²,,2,1,,,,A estrenar,,4992912-21732521,,,Gas natural,,,,,,,,,,Frío y calor,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Finca rústica en Camí del Mig,VIDILLAR,35 €/m²,1.400.000 €,550 m²,https://www.pisos.com/comprar/finca_rustica-pla_en_boet08302-46739635770_100500/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),550 m²,520 m²,5,3,,,,En buen estado,,SA5471-35286-VIDI-68,,,,,,,40.000 m²,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Dúplex en Arenys de Mar,Engel & Völkers MMC Barcelona,3.108 €/m²,429.000 €,138 m²,https://www.pisos.com/comprar/duplex-arenys_de_mar_centro_urbano-4956582461_109700/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),138 m²,,3,2,,,,A estrenar,,IF76306-D-000LP3,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,,,,
Casa adosada en Pineda de Mar,UN LLOC PER VIURE,1.557 €/m²,355.000 €,228 m²,https://www.pisos.com/comprar/casa_adosada-pineda_de_mar_centre-48341208344_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),228 m²,,4,3,,,Entre 20 y 30 años,,,SA2058-ULLPVCas0247/3449,,,Gas natural,,,Norte,,,,,Gres,,N/A,,,,1,,,N/A,N/A,,,,,,,N/A,,,,,,,Adosada,,
Apartamento en Playa,PREMIUM HOUSES,4.534 €/m²,399.000 €,88 m²,https://www.pisos.com/comprar/apartamento-port_balis_platges-50903581106_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),88 m²,87 m²,3,2,2ª,,Entre 10 y 20 años,,,SA1393-PH103346/3699,,,N/A,,N/A,Este,,,,,Parquet,N/A,N/A,,,,1,N/A,N/A,N/A,N/A,Comunitaria,,,,,N/A,N/A,,,,,,,,,
Casa adosada en Paseig de La Vilesa,PARELLADA IMMOBILIÀRIA,2.920 €/m²,549.000 €,188 m²,https://www.pisos.com/comprar/casa_adosada-tiana_centro_urbano08391-49185128949_100500/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),188 m²,140 m²,4,3,,,Entre 30 y 50 años,,Más de 100 €,SA5410-3008/11637,,,N/A,,,,,,,,Parquet,,N/A,,,N/A,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,Adosada,,
Dúplex en El Masnou,DOMUSSED,3.472 €/m²,1.000.000 €,288 m²,https://www.pisos.com/comprar/duplex-el_masnou_centro_urbano-50082007179_519977/,Anuncio actualizado el 04/02/2025,"E, E","E, E",maresme (BCN),288 m²,160 m²,4,3,2ª,Vistas exclusivas,Entre 30 y 50 años,Reformado,,4519977-P-8,Climalit,,Gas natural,En un espacio de la cocina,,Sureste,,,,Climalit,Parquet,,Frío y calor,,Abierta con isla,Abierto y con posibilidad de chimenea,2,N/A,N/A,N/A,Comunitario,Comunitaria,,,,,N/A,,N/A,Aluminio climalit,N/A,N/A,,,,Diseño actual,
Casa en Vall,PROMOFINCAS,1.612 €/m²,345.000 €,214 m²,https://www.pisos.com/comprar/casa-santa_susanna_centro_urbano-33351401898_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",maresme (BCN),214 m²,180 m²,3,3,,,Entre 20 y 30 años,,,SA2132-VH00637200/7502,,,N/A,,,Este,888 m²,N/A,1,,Terrazo,N/A,N/A,N/A,,N/A,1,,N/A,N/A,N/A,,N/A,,,,,N/A,,,,,,N/A,,,
Piso en Malgrat de Mar,Flamat Malgrat de Mar,2.272 €/m²,175.000 €,77 m²,https://www.pisos.com/comprar/piso-malgrat_de_mar_centro_urbano-51733804474_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),77 m²,,2,1,4ª,N/A,,En buen estado,,SA5694-107205931,,,,,N/A,Sur,,,1,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,
"Dúplex en Carrer Josep Pla, 1",LA LLAVE DE ORO,4.548 €/m²,564.000 €,124 m²,https://www.pisos.com/comprar/duplex-centre_urba-5068487693_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),124 m²,,4,3,3ª,,,A estrenar,,4993346-0,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,N/A,,,
Casa en Carrer Hortènsia,Finques LM,1.742 €/m²,237.000 €,136 m²,https://www.pisos.com/comprar/casa-urbanitzacions_el_mas_mora_sant_daniel_blanes_mar-33334879354_501491/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),136 m²,110 m²,4,2,,,Entre 20 y 30 años,En buen estado,,501491-712,Aluminio,,,,,Suroeste,426 m²,,,,Terrazo,,,N/A,N/A,N/A,1,,,N/A,Privado,,N/A,N/A,N/A,N/A,,,,,,,,,,,
Casa en Sot del Moré,PREMIUM HOUSES,1.863 €/m²,585.000 €,314 m²,https://www.pisos.com/comprar/casa-sant_pol_de_mar_centro_urbano-47500348924_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",maresme (BCN),314 m²,300 m²,5,3,,,Entre 20 y 30 años,,,SA1393-PH103225/3699,,,Gas natural,,,Este,500 m²,,,,Parquet,N/A,,,,,,N/A,N/A,N/A,N/A,,,,,,,N/A,,,,,,N/A,,,
Piso en Playa,PREMIUM HOUSES,4.140 €/m²,650.000 €,157 m²,https://www.pisos.com/comprar/piso-port_balis_platges-50024707584_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),157 m²,145 m²,4,2,1ª,,Entre 30 y 50 años,,,SA1393-PH103335/3699,,,Gas natural,,N/A,Sur,,,1,,Parquet,N/A,N/A,,,,1,,,,N/A,Comunitaria,,,,,N/A,N/A,,,,,,N/A,,,
Piso en Centre,Engel & Völkers MMC Barcelona,3.435 €/m²,268.000 €,78 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-5196047035_109700/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),78 m²,,2,1,2ª,,,A estrenar,,IF76306-D-000LP5,,,,,N/A,Al mar,,,,,,,Frío y calor,,N/A,,N/A,,,N/A,,,,,,,,,,,,N/A,,,,,
Casa adosada en Palafolls,Engel & Völkers MMC Barcelona,3.197 €/m²,534.000 €,167 m²,https://www.pisos.com/comprar/casa_adosada-palafolls_centro_urbano-5259447544_109700/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),167 m²,,3,3,,,,A estrenar,,IF76306-D-000LTD,,,,,,,,,Más de 2,,,,Frío y calor,,N/A,,N/A,,,,Privado,N/A,,,,,,,,,,N/A,,,Adosada,,
Piso en Vilassar de Dalt,Engel & Völkers MMC Barcelona,4.120 €/m²,375.000 €,91 m²,https://www.pisos.com/comprar/piso-vilassar_de_dalt_centro_urbano-4841088241_109700/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),91 m²,,3,2,,,,A estrenar,,IF76306-D-000M98,,,,,N/A,,,,,,,,Frío,,,,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en Argentona,Engel & Völkers MMC Barcelona,3.063 €/m²,775.000 €,253 m²,https://www.pisos.com/comprar/chalet-argentona_centro_urbano-5251668759_109700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),253 m²,,4,4,,,,A estrenar,,IF76306-D-000LL3,,,,,,A la montaña,,,Más de 2,,,,Frío y calor,,N/A,,N/A,,,N/A,Privado,,,,,,,,,,,N/A,,,,,
"Piso en calle Pompeu Fabra 50 y C/ Malgrat,  1",URBENIA,3.915 €/m²,325.000 €,83 m²,https://www.pisos.com/comprar/piso-arenys_de_mar_centro_urbano-5002381319_109700/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),83 m²,,3,2,1ª,,,A estrenar,,EP1014-21664501,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,,,,
"Piso en Avinguda del Maresme,  s/n",CULMIA,2.943 €/m²,315.000 €,107 m²,https://www.pisos.com/comprar/piso-mataro_centre08301-4887762746_109700/,Anuncio actualizado el 14/02/2025,"B, B","B, B",maresme (BCN),107 m²,,3,2,1ª,,,A estrenar,,-PR08001,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,N/A,,,
Casa en Carrer Pio Baroja,Finques LM,1.210 €/m²,230.000 €,190 m²,https://www.pisos.com/comprar/casa-urbanitzacions_terrabrava_tordera_parc-40895070972_501491/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),190 m²,,3,1,,,Entre 20 y 30 años,En buen estado,,501491-701,Aluminio,,,,,Sureste,532 m²,,,,,,,N/A,N/A,N/A,Más de 2,,,,Privado,Propia,N/A,N/A,N/A,N/A,,,,,,,,,,,
Piso en calle *,URBENIA,4.030 €/m²,262.000 €,65 m²,https://www.pisos.com/comprar/piso-via_europa08304-5029536600_109700/,Anuncio actualizado el 19/12/2024,"B, A","B, A",maresme (BCN),65 m²,,2,1,1ª,,,A estrenar,,EP1014-21650486,,,,,,,,,,,,,Frío y calor,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,N/A,,,
Piso en Vilassar de Dalt,Engel & Völkers MMC Barcelona,4.107 €/m²,345.000 €,84 m²,https://www.pisos.com/comprar/piso-vilassar_de_dalt_centro_urbano-4914041924_109700/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),84 m²,,3,2,,,,A estrenar,,IF76306-D-000M98,,,,,,,,,,,,,Frío,,,,N/A,,,,,,,,,,,,,,,,,,,,
"Dúplex en Carrer de Sant Jaume, 45",GRUPO MARIN,3.372 €/m²,435.000 €,129 m²,https://www.pisos.com/comprar/duplex-vilassar_de_mar_centro_urbano-4858843141_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),129 m²,,4,2,,,,A estrenar,,4529063-21533202,,,,N/A,N/A,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Casa adosada en Sant Pol 2000,PREMIUM HOUSES,2.579 €/m²,565.000 €,219 m²,https://www.pisos.com/comprar/casa_adosada-sant_pol_de_mar_centro_urbano-50891729389_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),219 m²,187 m²,4,3,,,Entre 20 y 30 años,,,SA1393-PH103284/3699,,,N/A,,,,,,,,Parquet,N/A,N/A,,,N/A,1,,,N/A,,Comunitaria,,,,,,N/A,,,,,,,Adosada,,
Ático en Malgrat de Mar,MARES REALTY,2.632 €/m²,229.000 €,87 m²,https://www.pisos.com/comprar/atico-malgrat_de_mar_centro_urbano-50036522630_108500/,Anuncio actualizado el 24/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),87 m²,67 m²,3,1,,N/A,,,,AG455-ATC0060,,,Gas natural,,,Sur,,,,N/A,Gres,,,,Individual,,,N/A,,Acristalada,,,,,,,N/A,,,,,N/A,,N/A,,,
Casa en Carrer Hortènsia,Finques LM,1.742 €/m²,230.000 €,132 m²,https://www.pisos.com/comprar/casa-urbanitzacions_el_mas_mora_sant_daniel_blanes_mar-43431763852_501491/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),132 m²,,3,2,,,Entre 30 y 50 años,En buen estado,,501491-721,Aluminio,,Gasoil,,,Suroeste,,N/A,,,Gres,N/A,Frío,N/A,N/A,N/A,1,,,N/A,Privado,,,,,N/A,,,,,,,,N/A,,,
